category	paragraph_1	paragraph_2	len_pargraph_1	is_plagiarism	plagiarism_type	cleaned_paragraph_1	cleaned_paragraph_2
geography	"""Pada 1950-an, Auguste Piccard menemukan batiskap dan menggunakan """"Trieste"""" untuk menyelidiki kedalaman lautan. Kapal selam nuklir Nautilus melakukan perjalanan pertamanya di bawah es menuju Kutub Utara pada 1958. Pada 1962, FLIP (Floating Instrument Platform), sebuah pelampung spar setinggi 355 kaki diapungkan untuk pertama kalinya."""	Definisi pembangunan dalam geografi adalah usaha untuk memperbaiki kondisi kehidupan masyarakat yang dilakukan oleh suatu wilayah tertentu yang memperhatikan segala aspek kehidupan masyarakat. Ada tiga unsur dalam setiap usaha pembangunan yang saling terkait dan saling mendukung terlaksananya pembangunan, yaitu:	3	False	non-plagiarism	1950-an auguste piccard temu batiskap trieste selidik selam nuklir nautilus jalan es kutub utara 1958 1962 flip floating instrument platform pelampung spar 355 kaki apung kali	definisi bangun usaha kondisi hidup masyarakat perhati aspek hidup masyarakat unsur usaha bangun kait dukung laksana bangun
environment	Sementara itu, dalam artikel 3.4 United Nations Framework Convention on Climate Change (UNFCCC) dijelaskan bahwa kebijakan melindungi iklim harus diintegrasikan ke dalam program pembangunan nasional. Oleh karena itu, Indonesia menyiapkan pembangunan rendah karbon yang sudah dimasukkan dalam Rencana Pembangunan Jangka Menengah Nasional (RPJMN) 2020-2024.	Sementara itu berarti (maksud) artikel 3 4 United Nations Framework Convention on Climate Change ( UNFCCC ) dijelaskan bahwa kebijaksanaan melindungi iklim kudu diintegrasikan ke ketika tata olah pendirian kebangsaan Oleh akibat itu pembentukan rendah karbonium disiap Indonesia nan telah dimasukkan lombong Rencana Pembangunan Jangka Menengah Nasional ( RPJMN ) 2020-2024 	2	True	structural change	artikel 3 4 united nations framework convention on climate change unfccc bijak lindung iklim integrasi program bangun nasional bangun rendah masuk rencana bangun jangka nasional rpjmn 2020-2024	maksud artikel 3 4 united nations framework convention on climate change unfccc bijaksana lindung iklim kudu integrasi tata olah bangsa akibat bentuk rendah karbonium nan masuk lombong rencana bangun jangka nasional rpjmn 2020-2024
biology	Paus biru tidak mudah ditangkap atau dibunuh. Berkat kecepatan dan kekuatan mereka, para pemburu paus pada awalnya jarang mengejar mereka dan memilih memburu paus sperma dan paus sikat	Paus biru tidak mudah ditangkap atau dibunuh. Berkat kecepatan dan kekuatan mereka, pemburu paus pada awalnya jarang mengejar mereka dan memilih untuk berburu paus sperma dan sikat paus 	2	True	paraphrase	mudah tangkap bunuh berkat cepat kuat buru jarang kejar pilih buru sperma sikat	mudah tangkap bunuh berkat cepat kuat buru jarang kejar pilih buru sperma sikat
environment	Di AS, angka yang sesuai akan menjadi 17 miliar kWh listrik dan 27,000,000,000 lb (1.2×1010 kg) CO 2 . Menurut sebuah studi pada tahun 2009 dari McKinsey & Company penggantian peralatan tua adalah salah satu yang paling efisien global langkah-langkah untuk mengurangi emisi gas rumah kaca	"""Hierarki sampah - hierarki sampah merujuk kepada """" 3 M """" mengurangi sampah, menggunakan kembali sampah dan daur ulang, yang mengklasifikasikan strategi pengelolaan sampah sesuai dengan keinginan dari segi minimalisasi sampah. Hierarki limbah yang tetap menjadi dasar dari sebagian besar strategi minimalisasi sampah. Tujuan hierarki sampah adalah untuk mengambil keuntungan maksimum dari produk-produk praktis dan untuk menghasilkan jumlah minimum limbah."""	2	False	non-plagiarism	as angka 17 miliar kwh 27 000 000 000 lb 1 21010 kg co 2 studi 2009 mckinsey company ganti alat tua salah efisien global langkah emisi gas kaca	hierarki sampah - hierarki sampah rujuk 3 m sampah sampah daur ulang klasifikasi strategi kelola sampah segi minimal sampah hierarki limbah dasar strategi minimal sampah tuju hierarki sampah ambil untung maksimum produk praktis hasil minimum limbah
technology	Keduanya terletak 13,2 mil (21,2 km) dari koordinat yang salah diberikan oleh operator radio Titanic pada malam tenggelamnya kapal. Kedua bagian kapal menghantam dasar laut dengan kecepatan yang mengakibatkan haluan remuk dan buritan runtuh sepenuhnya	E Deck , atau Upper Deck , lebih dimanfaatkan untuk akomodasi penumpang untuk semua kelas ditambah kamar tidur koki, pelaut, pelayan, dan penghias. Di sepanjang geladak ini, terdapat sebuah lorong panjang yang dijuluki Scotland Road oleh para awak, merujuk pada nama sebuah jalan terkenal di Liverpool.	2	False	non-plagiarism	letak 13 2 mil 21 2 km koordinat salah operator radio malam tenggelam hantam dasar cepat akibat haluan remuk burit runtuh sepenuh	e deck upper deck manfaat akomodasi kamar tidur koki layan hias geladak lorong juluk scotland road awak rujuk nama jalan kenal liverpool
environment	EPR dimaksudkan untuk menentukan akuntabilitas atas seluruh siklus hidup produk dan kemasan yang dibawa ke pasar. Ini berarti perusahaan yang membuat, mengimpor dan/atau menjual produk diminta untuk bertanggung jawab atas produk mereka sejak manufaktur hingga akhir dari masa penggunaannya	Sebagian besar karbon meninggalkan biosfer melalui pernapasan atau respirasi. Ketika tersedia oksigen, respirasi aerobik terjadi, yang melepaskan karbon dioksida ke udara atau air di sekitarnya dengan reaksi C 6 H 12 O 6 + 6O 2 → 6CO 2 + 6H 2 O. Pada keadaan tanpa oksigen, respirasi anaerobik lah yang terjadi, yang melepaskan metan ke lingkungan sekitarnya yang akhirnya berpindah ke atmosfer atau hidrosfer.	2	False	non-plagiarism	epr akuntabilitas siklus hidup produk kemas bawa pasar usaha impor jual produk tanggung produk manufaktur	tinggal biosfer napas respirasi sedia oksigen respirasi aerobik lepas dioksida udara reaksi c 6 h 12 o 6 6o 2 6co 2 6h 2 o oksigen respirasi anaerobik lepas metan lingkung pindah atmosfer hidrosfer
environment	Kelompok masyarakat bisa mandiri pangan dan energi. Hal ini sudah ada contohnya di beberapa daerah di Indonesia. Misalnya masyarakat Kasepuhan Ciptagelar di Sukabumi mampu berdaulat pangan karena mereka hidup dari bertani. Mereka bercocok tanam secara organik, hasil panen disimpan di lumbung padi (leuit) yang berjejer rapi di wilayah desa, dan dari kegiatan seperti ini bisa dibilang mereka punya cadangan makanan yang cukup hingga 95 tahun lagi.	Group  masyarakat bisa mandiri pangan dan energi. Thing  ini sudah ada contohnya di beberapa daerah in  Indonesia. For example  masyarakat Kasepuhan Ciptagelar di Sukabumi mampu berdaulat food  karena mereka hidup from  bertani. They  bercocok tanam secara organik, hasil panen disimpan in  lumbung padi (leuit) that  berjejer rapi di region  village,  and  from  kegiatan seperti ini bisa said  mereka punya cadangan makanan yang cukup hingga 95 tahun lagi.	4	True	translated	kelompok masyarakat mandiri pangan contoh daerah masyarakat kasepuhan ciptagelar sukabumi daulat pangan hidup tan cocok tanam organik hasil panen simpan lumbung padi leuit jejer rapi desa giat bilang cadang makan 95	group masyarakat mandiri pangan thing contoh daerah in for example masyarakat kasepuhan ciptagelar sukabumi daulat food hidup from tan they cocok tanam organik hasil panen simpan in lumbung padi leuit that jejer rapi region village and from giat said cadang makan 95
technology	Permasalahan yang dapat diselesaikan dengan pemrograman linear termasuk permasalahan alur maksimum untuk grafik terarah). Jika sebuah masalah sebagai tambahan membutuhkan satu atau lebih jawaban haruslah integer maka ia diklasifikan dalam pemrograman integer	Contoh operasi penetapan tersebut ada di bawah.	2	False	non-plagiarism	selesai pemrograman linear alur maksimum grafik arah butuh integer diklasifikan pemrograman integer	contoh operasi
biology	Rantai biasanya terdiri dari 14 sampai 24 kelompok karbon, dan bilangan ini selalu genap. Untuk lipid yang ada di membran biologis, kepala hidrofiliknya berasal dari salah satu dari tiga kelompok: (1) glikolipid, yang kepalanya mengandung oligosakarida dengan 1–15 residu sakarida; (2) fosfolipid, yang kepalanya mengandung gugus bermuatan positif yang dihubungkan ke ekor oleh gugus fosfat bermuatan negatif; atau (3) sterol, yang kepalanya mengandung cincin steroid planar, misalnya kolesterol	Keanekaragaman pertanian juga dapat dibagi menjadi keanekaragaman yang 'direncanakan' atau keanekaragaman 'terkait'. Pengelompokan ini merupakan klasifikasi fungsional dan bukan sifat intrinsik kehidupan. Keanekaragaman yang direncanakan misalnya tumbuhan yang didukung, ditanam, atau dibesarkan oleh petani (misalnya tanaman, simbion, dan hewan ternak), yang dapat dibedakan dengan keanekaragaman 'terkait' yang muncul dari tumbuhan tanpa diatur (misalnya herbivora serta spesies gulma dan patogen).	2	False	non-plagiarism	rantai 14 24 kelompok bilang genap lipid membran biologis kepala hidrofiliknya salah kelompok 1 glikolipid kepala kandung oligosakarida 115 residu sakarida 2 fosfolipid kepala kandung gugus muat positif hubung ekor gugus fosfat muat negatif 3 sterol kepala kandung cincin steroid planar kolesterol	tani rencana kait kelompok klasifikasi fungsional sifat intrinsik hidup rencana tumbuh dukung tanam tani tanam simbion hewan ternak beda kait muncul tumbuh atur herbivora gulma patogen
covid19	Pada tingkat global, jumlah kasus baru positif Covid-19 dan kasus kematian di Indonesia pada bulan Maret berada pada peringkat 17 dan 14 dunia. Pada level regional Asia Pasifik, pandemi Covid-19 Indonesia berada pada posisi terburuk baik menurut ukuran kasus kumulatif dari awal wabah maupun dari kejadian kasus di bulan Maret.	Adapun pasien Covid-19 yang mendapatkan kesembuhan di bulan Maret, jumlahnya lebih besar 16% dibandingkan jumlah kasus positif. Meskipun demikian, jumlah kasus kesembuhan menurun 24% dibandingkan dengan kesembuhan di bulan Februari.	2	False	non-plagiarism	tingkat global positif covid-19 mati maret peringkat 17 14 level regional asia pasifik covid-19 posisi buruk ukur kumulatif wabah maret	pasien covid-19 sembuh maret 16 banding positif sembuh turun 24 banding sembuh februari
